SKUid,Contractor,Time taken (s),
04261689,Joy,179.0012763,
07929972,Pete,34.70911855,
58314680,Rob,107.6098599,
18840132,Rob,266.3145667,
19657535,Joy,30.25443262,
17106453,Rob,347.007648,
21362839,Joy,26.39912751,
21420452,Rob,2.998312536,
00148206,Joy,54.03486793,
00302539,Pete,2.392752706,
34895096,Joy,41.94787409,
13270442,Rob,132.7540302,
06383417,Pete,82.90126442,
33172900,Joy,128.8507502,
66935243,Rob,462.0413121,
71786752,Rob,102.2964763,
28245328,Rob,78.87946828,
04496145,Joy,89.98959386,
10052396,Pete,31.45633613,
25183731,Rob,191.4399987,
23962447,Joy,102.2693483,
31096970,Rob,84.7063037,
14460723,Rob,247.3136242,
26946706,Joy,134.7254027,
92165311,Rob,303.9900718,
60794346,Rob,191.35137,
25245470,Rob,200.1218819,
25195498,Joy,194.0684569,
61535544,Rob,310.5062042,
95667025,Rob,145.9933246,
29467088,Rob,25.7351846,
01570934,Joy,124.9630094,
04365475,Pete,12.74338375,
40547886,Rob,385.4867704,
45011418,Joy,150.9715022,
57411146,Rob,57.5016215,
07714581,Rob,72.89677584,
02920466,Pete,53.56012431,
20244055,Joy,43.62895114,
32005466,Rob,136.9233091,
11803603,Joy,140.634545,
24066073,Joy,72.90853264,
34746873,Rob,275.136439,
33341200,Joy,38.60021842,
12225936,Rob,183.5072922,
08498100,Pete,10.22959756,
06141716,Rob,191.7801087,
09234220,Pete,39.71360881,
49603596,Rob,304.5684073,
52394288,Rob,31.38898314,
07709193,Rob,271.4361099,
06504604,Pete,36.6681762,
51642588,Rob,21.33129753,
04810006,Rob,160.9709288,
02659602,Pete,26.6400529,
35661274,Joy,210.8344904,
84473408,Rob,95.95518904,
22692024,Rob,474.2953302,
21550496,Joy,107.015026,
89470599,Rob,371.3836422,
73768378,Rob,147.6480459,
24514899,Rob,104.0180435,
08327720,Joy,142.5637977,
24196235,Joy,34.03130858,
23303532,Rob,361.813193,
20355193,Joy,116.0295351,
72059490,Rob,193.4591721,
44110566,Rob,332.7059427,
35728821,Joy,211.1231216,
63696226,Rob,219.8712298,
51969137,Rob,118.0762004,
16303357,Rob,29.4584053,
02677232,Joy,74.0085638,
05349019,Pete,13.75992088,
15214995,Rob,202.0652821,
20791866,Joy,83.45979489,
44336069,Rob,322.9533823,
51854166,Rob,81.03831802,
23612015,Rob,31.86977573,
01992258,Joy,20.92386622,
01129660,Pete,14.36844413,
06036231,Pete,67.15387322,
34165904,Joy,112.5298314,
50076367,Rob,223.7660501,
29480098,Rob,31.55030227,
05639296,Rob,200.0017821,
08561866,Pete,27.79394807,
39429312,Rob,275.0248722,
35711965,Rob,241.7287194,
67443641,Rob,109.9280008,
29763419,Rob,420.2240122,
27397326,Joy,99.5294893,
56209511,Rob,379.6304303,
55165124,Rob,316.7124093,
85561083,Rob,112.0125408,
25723325,Rob,294.2293252,
15407646,Joy,100.7245965,
46084445,Rob,215.8286188,
56437561,Rob,369.9052047,
69295509,Rob,144.3862001,
37853660,Rob,167.5956149,
13968289,Joy,84.58369165,
14979640,Joy,115.5265526,
27982415,Joy,112.5888912,
34732492,Rob,9.186479226,
01478493,Rob,145.2431746,
01536628,Pete,0.469798502,
01846068,Rob,126.947607,
01552484,Pete,1.090254483,
02998917,Joy,8.409861839,
00236237,Pete,16.43170499,
01843176,Pete,10.2306589,
28464054,Rob,214.6687921,
47661256,Rob,25.03210875,
07551436,Rob,251.1448866,
05276139,Pete,17.19778728,
22878488,Rob,212.8449528,
27751064,Joy,155.8183522,
57984862,Rob,24.95292712,
05604288,Rob,87.50842277,
01506318,Pete,31.29558932,
19546658,Joy,54.72692368,
45480732,Rob,382.103367,
42792668,Rob,193.2111243,
64930019,Rob,232.3828781,
41968831,Rob,161.5459353,
23126750,Rob,238.3888518,
36704142,Joy,201.3539334,
83021663,Rob,406.693174,
89242536,Rob,435.7384825,
85381024,Rob,65.67424966,
12826528,Rob,335.2090204,
10313580,Pete,15.93002212,
16652634,Rob,227.7659533,
14071996,Joy,88.58910134,
48467001,Rob,108.2363022,
27255710,Rob,303.5923701,
27119247,Joy,147.9065708,
65899300,Rob,198.9205588,
43395978,Rob,259.2390295,
31301074,Rob,4.05120614,
00968044,Rob,32.60567634,
00168802,Pete,4.533027981,
06107259,Pete,44.63559269,
47945890,Rob,283.4950094,
82878206,Rob,228.0351074,
53933143,Rob,17.40197934,
01915225,Rob,36.17604619,
00466900,Pete,5.466662609,
04130316,Pete,44.13998808,
20672379,Joy,125.3212166,
53571456,Rob,112.9978703,
27400872,Rob,243.2112114,
20520143,Joy,62.61388028,
22230529,Rob,0.757013763,
00092396,Joy,158.4272599,
00215796,Pete,0.909399018,
62372102,Rob,237.9745838,
40114481,Rob,151.878238,
23179055,Rob,36.25407211,
05490490,Joy,33.72388157,
02109884,Pete,2.598502936,
00638424,Pete,9.965971751,
00490957,Pete,4.964554708,
03099918,Pete,36.76517819,
14870744,Joy,71.16108568,
33758947,Rob,280.4518894,
53681940,Rob,153.3454634,
50956594,Rob,452.5726148,
51711958,Rob,83.02643274,
29496075,Rob,477.0722024,
30638640,Joy,66.52508375,
43039309,Rob,135.3395451,
11754404,Joy,40.73595933,
05123861,Joy,54.63988694,
07574380,Pete,25.78849552,
11000145,Joy,107.8596822,
14689196,Joy,82.93334929,
32527441,Rob,170.9099535,
38597440,Rob,95.91137041,
20158004,Rob,191.262257,
19010820,Joy,111.3263291,
42251255,Rob,282.1716893,
66095282,Rob,277.6278387,
74164628,Rob,100.2505953,
16843777,Rob,274.6574857,
14850516,Joy,17.36498294,
11326253,Rob,205.8836725,
09629742,Pete,11.42658944,
08308301,Rob,45.21576303,
02146109,Pete,53.88910006,
11731095,Pete,25.1950476,
25306047,Rob,40.11424507,
03446158,Joy,92.75208509,
05881092,Pete,3.19269801,
03437211,Rob,154.4589387,
03354076,Pete,27.91155345,
50170770,Rob,230.3366253,
76671524,Rob,342.3840163,
62876115,Rob,41.18451593,
07356535,Rob,275.8437394,
07227221,Pete,36.2733512,
54404830,Rob,0.501147327,
00100610,Rob,66.98149931,
00024679,Pete,0.173800351,
04628324,Pete,45.95806418,
12945819,Joy,54.59989651,
21686513,Rob,150.5393676,
25396410,Joy,81.18078238,
22541020,Rob,92.70961361,
11854019,Joy,136.0439223,
22381558,Joy,118.3776688,
54342956,Rob,167.6388402,
35466153,Rob,275.2657292,
33965930,Joy,170.2615542,
52858476,Rob,2.72119713,
00545623,Rob,99.47326786,
00204838,Pete,2.928382059,
21355072,Joy,70.90509865,
40546507,Rob,220.6570033,
29305836,Rob,133.225154,
29000833,Rob,92.87980022,
16889366,Rob,191.361309,
24514605,Joy,122.3203309,
55436959,Rob,63.62920263,
12699604,Rob,244.9498101,
11245898,Pete,49.95307957,
38539773,Rob,225.614456,
40086211,Rob,37.8073701,
08853076,Rob,183.1709083,
06910316,Pete,26.00581104,
21522497,Rob,72.44964559,
10906080,Joy,183.2573892,
24675450,Joy,105.5082774,
70915196,Rob,302.9696093,
51817983,Rob,33.04928548,
05647832,Rob,43.98282219,
01122082,Pete,39.7970161,
12396862,Pete,23.31208726,
33072498,Rob,243.2524338,
18297281,Joy,107.3776621,
31591054,Rob,239.3209123,
56178224,Rob,201.370181,
61019926,Rob,330.1515885,
47336978,Rob,242.4040488,
52461604,Rob,3.984851753,
00816228,Rob,76.16901544,
00231424,Pete,4.99872772,
18658911,Joy,84.66317167,
73148440,Rob,58.94124225,
10697628,Rob,404.3540606,
13032748,Pete,43.02993502,
65058642,Rob,273.35242,
36100863,Rob,254.6818981,
42803176,Rob,197.3442598,
55688430,Rob,334.3124955,
61653978,Rob,82.00473454,
19691851,Rob,333.0120623,
17717309,Joy,67.14814063,
45422119,Rob,16.54381409,
02508024,Rob,257.1694874,
03746689,Pete,11.74783111,
48184269,Rob,344.2832416,
43180323,Rob,202.2751616,
57811355,Rob,297.2646422,
55700604,Rob,224.0802486,
46088616,Rob,112.5826079,
18116527,Rob,0,
,Joy,0,
