SKU,Colour
CLNT71786752,Green
CLNT16889366,Green
CLNT12396862,Red
CLNT_48157191, Blue
CLNT57811355,Green
CLNT25451782,Green
CLNT00168802,Green
CLNT33779931,Red
CLNT12699604,Green
CLNT37853660,Red
CLNT43491367,Green
CLNT12442130,Green
CLNT19155310,Green
CLNT00110923,Green
CLNT46088616,Red
CLNT17890433, Blue
CLNT57411146, Blue
CLNT07316523, Blue
CLNT25483656,Red
CLNT61535544,Green
CLNT23463891,Green
CLNT25396410,Green
CLNT25306047,Red
CLNT08418585, Blue
CLNT63696226,Green
CLNT22381558,Red
CLNT48184269,Red
CLNT33341200,Green
CLNT02332113,Red
CLNT15780967,Green
CLNT02967391,Red
CLNT36176082, Blue
CLNT25584204,Green
CLNT01530270,Green
CLNT21550496,Green
CLNT-41874427,Green
CLNT35377151,Green
CLNT67443641, Blue
CLNT23457551,Green
CLNT_47520656,Green
CLNT51432418, Blue
CLNT-17170809, Blue
CLNT00638424,Green
CLNT80960735,Red
CLNT01536628,Green
CLNT11854019,Red
CLNT-36426904,Green
CLNT19437723,Green
CLNT23038012,Green
CLNT00597293,Green
CLNT53897804,Red
CLNT14071996,Green
CLNT-07619475,Green
CLNT06682745,Red
CLNT29000833,Green
CLNT_40702733,Red
CLNT06383417,Green
CLNT65058642,Green
CLNT03099918,Green
CLNT18395785,Green
CLNT45011418,Red
CLNT14850516,Green
CLNT07934694,Red
CLNT34746873,Green
CLNT85075492, Blue
CLNT40279221,Green
CLNT10387430, Blue
CLNT56072948,Green
CLNT04810006, Blue
CLNT_75243985,Green
CLNT06036231,Green
CLNT01478493, Blue
CLNT03437211,Green
CLNT56437561,Red
CLNT83021663,Green
CLNT_01929945,Green
CLNT52461604,Red
CLNT72059490,Green
CLNT02508024,Red
CLNT61653978,Green
CLNT40963581,Green
CLNT14538557,Green
CLNT17858872,Green
CLNT00534593,Green
CLNT_27784072,Green
CLNT31096970, Blue
CLNT51329433,Green
CLNT27119247, Blue
CLNT10697628,Green
CLNT74669642,Green
CLNT02083446,Green
CLNT16303357,Green
CLNT28696568,Green
CLNT58227126,Red
CLNT20672379,Green
CLNT_13902259,Green
CLNT15565303,Red
CLNT07952417,Green
CLNT03446158,Red
CLNT_12265828,Green
CLNT51779329,Green
CLNT38539773,Green
CLNT49386401,Green
CLNT40725139,Green
CLNT16780847,Red
CLNT11803603,Red
CLNT40001528,Green
CLNT36793752,Red
CLNT69726285,Green
CLNT11595810,Red
CLNT20263695,Green
CLNT_08901088,Green
CLNT41280860,Red
CLNT24836182,Green
CLNT11326253,Red
CLNT09713171,Red
CLNT10906080,Green
CLNT33075243,Green
CLNT36704142,Green
CLNT54342956,Green
CLNT15214995, Blue
CLNT11245898,Red
CLNT45422119,Green
CLNT_01464192,Green
CLNT00148206,Green
CLNT28943918,Green
CLNT12225936,Red
CLNT-39037580, Blue
CLNT13137364,Green
CLNT89470599,Green
CLNT35661274,Green
CLNT_07070198,Green
CLNT25796246,Green
CLNT21622630,Green
CLNT40546507,Green
CLNT22878488,Red
CLNT00844329,Green
CLNT_13400618, Blue
CLNT13853846,Green
CLNT09234220, Blue
CLNT05293542,Red
CLNT01392583,Red
CLNT20017023,Green
CLNT10865543,Green
CLNT34732492,Red
CLNT65899300,Green
CLNT04130316,Green
CLNT07714581,Green
CLNT47425161,Green
CLNT20158004, Blue
CLNT89242536,Green
CLNT12386821,Green
CLNT73768378,Red
CLNT03095201,Green
CLNT11754404, Blue
CLNT11000145,Red
CLNT50170770,Green
CLNT32527441,Green
CLNT43039309,Red
CLNT19170770,Green
CLNT82878206,Green
CLNT-42659619,Red
CLNT09930848,Green
CLNT18479040,Green
CLNT_08106921, Blue
CLNT13032748,Red
CLNT40086211,Green
CLNT07012291,Red
CLNT10868266,Green
CLNT_02444941,Green
CLNT02659602,Red
CLNT47275592,Red
CLNT01552484, Blue
CLNT02109884,Green
CLNT_50546524,Green
CLNT06816920,Red
CLNT10052396,Red
CLNT24617687,Red
CLNT22283831,Red
CLNT16345924,Green
CLNT_09897362,Red
CLNT-40261118,Green
CLNT41968831,Red
CLNT39429312,Green
CLNT34895096,Green
CLNT_34885881,Green
CLNT07424925,Green
CLNT_04245229,Red
CLNT_24641875,Green
